,alpha,mode,neg,pos,pos/neg
0,-18.0,-0.14698717806763406,0.8949595355380915,0.1356113037739565,0.1515278606338561
1,-17.9968,-0.14700968303357764,0.8950149078958843,0.13563585696685104,0.15154591925817323
2,-17.9936,-0.14703219474863333,0.8949853785391894,0.13565734341114785,0.15157492699218184
3,-17.9904,-0.14705471321581348,0.8948971296504329,0.13567047135307142,0.15160454409555138
4,-17.9872,-0.14707723843813325,0.894937927138975,0.1356933701428152,0.15162321992164646
5,-17.984,-0.14709977041860844,0.8949129300101273,0.13571828450289258,0.15165529511497475
6,-17.9808,-0.14712230916025731,0.8948855424261357,0.13573282783985618,0.15167618807637587
7,-17.9776,-0.14714485466609994,0.8949205330780418,0.1357611668773459,0.15170192420370673
8,-17.9744,-0.14716740693915797,0.8948797120846836,0.13578362465715763,0.15173394013016606
9,-17.9712,-0.14718996598245415,0.8948839281051645,0.1358024906609854,0.15175430734188605
10,-17.968,-0.14721253179901445,0.8948521493304181,0.13581991781198588,0.1517791714682861
11,-17.9648,-0.1472351043918661,0.8948016691947227,0.1358424438336641,0.15181290839110256
12,-17.9616,-0.14725768376403708,0.894791511792931,0.1358568229365439,0.1518307015053394
13,-17.9584,-0.14728026991855814,0.894796701217109,0.13588540037492736,0.1518617583078872
14,-17.9552,-0.1473028628584624,0.8947794746334803,0.13590849946591568,0.1518904974005875
15,-17.952,-0.1473254625867832,0.8947484757710087,0.1359241922630909,0.15191329847861929
16,-17.9488,-0.14734806910655662,0.8947002429444699,0.13594540708278163,0.15194519969658615
17,-17.9456,-0.14737068242082058,0.8947181110184037,0.13597273437733065,0.15197270816677788
18,-17.9424,-0.147393302532615,0.8947441784815453,0.13599369003744122,0.15199170143608393
19,-17.9392,-0.1474159294449805,0.894742922599858,0.13601677646612756,0.15201771707889356
20,-17.936,-0.1474385631609607,0.8947157065657225,0.13603061712775397,0.15203781059113625
21,-17.9328,-0.14746120368360044,0.8947198519382212,0.13606313581918228,0.15207345128693667
22,-17.9296,-0.1474838510159463,0.8946267744672223,0.1360724639352758,0.15209969991822694
23,-17.9264,-0.14750650516104719,0.8946297188696861,0.13609486293150516,0.15212423649803775
24,-17.9232,-0.14752916612195288,0.8946422766886509,0.13611745627121524,0.1521473552256308
25,-17.92,-0.14755183390171617,0.8945885231412029,0.1361371017371553,0.15217845771051464
26,-17.9168,-0.14757450850339016,0.8945742984614822,0.13616082446780528,0.15220739596697455
27,-17.9136,-0.14759718993003168,0.8945674167743751,0.13618136738752581,0.152231530943266
28,-17.9104,-0.1476198781846979,0.8945780371278935,0.1362070624174767,0.15225844673627265
29,-17.9072,-0.14764257327044783,0.8945860078218009,0.1362385201936318,0.15229225474401803
30,-17.904,-0.14766527519034295,0.8945213639467245,0.13624922218065894,0.15231522428878916
31,-17.9008,-0.14768798394744626,0.8945268996818767,0.13626635932118955,0.15233343946353137
32,-17.8976,-0.1477106995448222,0.8945340294452533,0.1362903897264225,0.15235908891128846
33,-17.8944,-0.14773342198553824,0.8944520335216953,0.13630926990887504,0.15239416402486025
34,-17.8912,-0.14775615127266234,0.8945055412864064,0.1363311420119087,0.152409499683868
35,-17.888,-0.14777888740926448,0.8944455425585025,0.13634774253408327,0.15243828276461588
36,-17.8848,-0.14780163039841726,0.8944488385547622,0.13638220756073358,0.15247625317631136
37,-17.8816,-0.14782438024319416,0.8944725233209773,0.13639946826714,0.1524915128311814
38,-17.8784,-0.14784713694667162,0.8944049352165968,0.1364166312373521,0.1525222255222868
39,-17.8752,-0.14786990051192628,0.894461066201047,0.13644469814678126,0.1525440327171409
40,-17.872,-0.14789267094203795,0.8944263684784834,0.13646404932029416,0.15257158568841653
41,-17.8688,-0.14791544824008812,0.8943862733559403,0.13647968275739797,0.1525959049497654
42,-17.8656,-0.14793823240915926,0.8943337601297997,0.13650261921213708,0.15263051144611345
43,-17.8624,-0.1479610234523367,0.8943366445296881,0.13653194892454312,0.15266281412000318
44,-17.8592,-0.14798382137270688,0.8943293215169598,0.1365451879146147,0.1526788674254882
45,-17.856,-0.14800662617335836,0.8943651130963043,0.1365825898215835,0.15271457687871198
46,-17.8528,-0.1480294378573816,0.8942738165774418,0.1365887375474648,0.1527370420731049
47,-17.8496,-0.14805225642786857,0.8943249289738984,0.1366134380560461,0.15275593202214457
48,-17.8464,-0.14807508188791324,0.8942355651347071,0.1366256040024636,0.15278480227062138
49,-17.8432,-0.14809791424061186,0.8942799927457741,0.13665461281639357,0.15280965013743938
50,-17.84,-0.14812075348906217,0.894251964769561,0.13666682786320555,0.15282809906760797
51,-17.8368,-0.14814359963636325,0.8942119755790008,0.13669870904641124,0.15287058637064108
52,-17.8336,-0.14816645268561635,0.8941789439814087,0.13671721408063542,0.15289692851845768
53,-17.8304,-0.1481893126399254,0.8942322813946095,0.1367480126233139,0.15292225014517155
54,-17.8272,-0.14821217950239518,0.8941637513277747,0.13675876983182775,0.1529460008066195
55,-17.824,-0.1482350532761323,0.8941482810263617,0.13678116418724248,0.15297369249565201
56,-17.8208,-0.1482579339642457,0.8941633368222414,0.13680032309546536,0.1529925433776325
57,-17.8176,-0.14828082156984618,0.894161593025649,0.1368317887712484,0.15302803188877673
58,-17.8144,-0.14830371609604587,0.8941131142963654,0.13684981338568108,0.15305648826477278
59,-17.8112,-0.14832661754595933,0.8941327917430955,0.1368720116452119,0.15307794648531167
60,-17.808,-0.14834952592270217,0.8941000817117335,0.13689730751927853,0.15311183872972237
61,-17.8048,-0.14837244122939314,0.8940808973776286,0.13691437601213782,0.1531342146037485
